"","profile pic","nums/length username","fullname words","nums/length fullname","name==username","description length","external URL","private","#posts","#followers","#follows","fake"
"37","1","Medio","Corto","Bajo","0","Corto","0","1","Medio","Medio-Alto","Medio-Alto","0"
"38","1","Bajo","Medio","Bajo","0","Medio","0","0","Medio","Medio-Alto","Alto","0"
"39","1","Bajo","Medio","Bajo","0","Largo","0","1","Medio","Medio-Bajo","Medio-Bajo","0"
"40","1","Bajo","Medio","Bajo","0","Corto","0","0","Bajo","Medio-Bajo","Medio-Bajo","0"
"41","1","Bajo","Corto","Bajo","0","Corto","0","0","Alto","Alto","Bajo","0"
"42","1","Bajo","Medio","Bajo","0","Corto","1","0","Alto","Alto","Medio-Alto","0"
"43","1","Bajo","Medio","Bajo","0","Corto","0","0","Alto","Alto","Alto","0"
"44","1","Bajo","Medio","Bajo","0","Largo","1","0","Alto","Alto","Bajo","0"
"45","1","Bajo","Medio","Bajo","0","Corto","0","0","Alto","Alto","Bajo","0"
"46","1","Bajo","Medio","Bajo","0","Medio","0","0","Alto","Alto","Bajo","0"
"47","1","Bajo","Medio","Bajo","0","Corto","0","1","Bajo","Medio-Bajo","Medio-Bajo","0"
"48","1","Bajo","Medio","Bajo","0","Corto","0","1","Medio","Medio-Alto","Medio-Bajo","0"
"49","1","Bajo","Corto","Bajo","0","Corto","0","0","Alto","Medio-Alto","Medio-Alto","0"
"50","1","Bajo","Corto","Bajo","0","Corto","0","0","Alto","Alto","Alto","0"
"51","1","Bajo","Medio","Bajo","0","Medio","1","0","Alto","Alto","Medio-Alto","0"
"52","1","Bajo","Medio","Bajo","0","Medio","0","0","Alto","Alto","Alto","0"
"53","1","Bajo","Corto","Bajo","0","Largo","1","0","Alto","Alto","Medio-Alto","0"
"54","1","Bajo","Medio","Medio","0","Corto","1","0","Alto","Alto","Alto","0"
"55","1","Bajo","Corto","Bajo","0","Medio","0","0","Medio","Medio-Alto","Medio-Alto","0"
"56","1","Medio","Corto","Bajo","0","Corto","1","0","Medio","Medio-Bajo","Medio-Alto","0"
"57","1","Bajo","Medio","Bajo","0","Medio","0","0","Medio","Alto","Alto","0"
"58","1","Bajo","Corto","Bajo","0","Corto","0","1","Alto","Medio-Alto","Medio-Alto","0"
"59","1","Bajo","Corto","Bajo","0","Corto","0","0","Medio","Alto","Alto","0"
"60","1","Medio","Medio","Bajo","0","Corto","0","0","Medio","Alto","Medio-Bajo","0"
"61","1","Bajo","Corto","Bajo","0","Corto","0","0","Medio","Medio-Bajo","Medio-Bajo","0"
"62","1","Bajo","Corto","Bajo","0","Corto","1","0","Medio","Medio-Alto","Medio-Alto","0"
"63","1","Medio","Medio","Bajo","0","Corto","0","0","Medio","Medio-Bajo","Medio-Bajo","0"
"64","1","Bajo","Corto","Bajo","0","Medio","1","0","Alto","Alto","Medio-Bajo","0"
"65","1","Bajo","Medio","Bajo","0","Largo","1","0","Alto","Alto","Medio-Alto","0"
"66","1","Bajo","Medio","Bajo","0","Medio","1","0","Alto","Alto","Alto","0"
"67","1","Bajo","Medio","Bajo","0","Medio","0","0","Medio","Medio-Alto","Medio-Alto","0"
"68","1","Bajo","Corto","Bajo","0","Corto","0","0","Alto","Alto","Alto","0"
"69","1","Bajo","Medio","Bajo","0","Medio","1","0","Alto","Alto","Alto","0"
"70","1","Bajo","Medio","Bajo","0","Corto","0","0","Alto","Medio-Alto","Alto","0"
"71","1","Medio","Medio","Bajo","0","Medio","0","0","Medio","Medio-Alto","Medio-Alto","0"
"72","1","Bajo","Corto","Bajo","0","Medio","0","0","Medio","Medio-Alto","Medio-Alto","0"
"73","1","Bajo","Corto","Bajo","0","Corto","0","1","Bajo","Medio-Alto","Medio-Bajo","0"
"74","1","Bajo","Medio","Bajo","0","Corto","0","0","Medio","Medio-Alto","Medio-Alto","0"
"75","1","Medio","Medio","Bajo","0","Corto","0","1","Bajo","Medio-Alto","Medio-Alto","0"
"76","1","Bajo","Corto","Bajo","0","Corto","0","1","Bajo","Bajo","Bajo","0"
"77","1","Bajo","Medio","Bajo","0","Corto","0","1","Alto","Medio-Alto","Alto","0"
"78","1","Bajo","Medio","Bajo","0","Corto","0","1","Medio","Medio-Alto","Medio-Alto","0"
"79","1","Bajo","Medio","Bajo","0","Corto","0","0","Alto","Medio-Alto","Medio-Alto","0"
"80","1","Medio","Corto","Bajo","0","Corto","0","0","Alto","Alto","Alto","0"
"81","1","Bajo","Medio","Bajo","0","Corto","0","0","Medio","Medio-Alto","Medio-Alto","0"
"82","1","Bajo","Medio","Bajo","0","Corto","0","1","Medio","Medio-Alto","Medio-Alto","0"
"83","1","Bajo","Medio","Bajo","0","Medio","1","0","Alto","Alto","Medio-Alto","0"
"84","1","Bajo","Medio","Bajo","0","Corto","0","0","Alto","Alto","Alto","0"
"85","1","Bajo","Medio","Bajo","0","Corto","1","0","Alto","Alto","Medio-Alto","0"
"86","1","Bajo","Medio","Bajo","0","Corto","1","0","Medio","Alto","Medio-Alto","0"
"87","1","Bajo","Corto","Bajo","0","Medio","0","0","Alto","Alto","Alto","0"
"88","1","Bajo","Corto","Bajo","0","Corto","1","1","Alto","Alto","Alto","0"
"89","1","Bajo","Corto","Bajo","0","Corto","0","0","Alto","Alto","Alto","0"
"90","1","Bajo","Corto","Bajo","0","Corto","0","0","Medio","Alto","Alto","0"
"91","1","Bajo","Medio","Bajo","0","Corto","0","1","Alto","Alto","Alto","0"
"92","1","Bajo","Medio","Bajo","0","Medio","0","1","Medio","Alto","Alto","0"
"93","1","Bajo","Corto","Bajo","0","Corto","0","1","Alto","Alto","Alto","0"
"94","1","Bajo","Medio","Bajo","0","Medio","0","0","Medio","Medio-Alto","Medio-Alto","0"
"95","1","Bajo","Corto","Bajo","0","Corto","0","0","Medio","Alto","Alto","0"
"96","1","Bajo","Medio","Bajo","0","Medio","0","1","Alto","Alto","Alto","0"
"97","1","Bajo","Corto","Bajo","0","Corto","0","0","Medio","Medio-Alto","Alto","0"
"98","1","Bajo","Corto","Bajo","0","Corto","0","0","Alto","Alto","Medio-Alto","0"
"99","1","Bajo","Corto","Bajo","0","Corto","1","0","Alto","Alto","Alto","0"
"100","1","Bajo","Medio","Bajo","0","Corto","0","0","Alto","Medio-Alto","Medio-Alto","0"
"101","1","Bajo","Medio","Bajo","0","Corto","0","1","Alto","Alto","Medio-Alto","0"
"102","1","Bajo","Corto","Bajo","0","Corto","0","1","Medio","Medio-Bajo","Bajo","0"
"103","1","Bajo","Medio","Bajo","0","Corto","0","1","Alto","Medio-Alto","Medio-Bajo","0"
"104","1","Bajo","Corto","Bajo","0","Corto","0","1","Bajo","Bajo","Bajo","0"
"105","1","Bajo","Medio","Bajo","0","Medio","1","0","Medio","Alto","Medio-Bajo","0"
"106","1","Bajo","Corto","Bajo","0","Largo","1","0","Alto","Alto","Alto","0"
"107","1","Bajo","Corto","Bajo","0","Largo","1","0","Alto","Alto","Alto","0"
"108","1","Bajo","Medio","Bajo","0","Largo","1","0","Alto","Alto","Medio-Alto","0"
"109","1","Bajo","Medio","Bajo","0","Corto","0","1","Alto","Medio-Alto","Medio-Alto","0"
"110","1","Bajo","Medio","Bajo","0","Corto","0","0","Bajo","Medio-Alto","Medio-Bajo","0"
"111","1","Bajo","Medio","Bajo","0","Corto","0","0","Bajo","Alto","Alto","0"
"112","1","Bajo","Corto","Bajo","0","Corto","0","0","Alto","Alto","Alto","0"
"113","1","Medio","Corto","Bajo","0","Medio","0","1","Medio","Medio-Bajo","Medio-Bajo","0"
"114","1","Medio","Corto","Bajo","0","Corto","0","1","Medio","Medio-Alto","Medio-Bajo","0"
"115","1","Bajo","Corto","Bajo","0","Corto","0","0","Bajo","Medio-Alto","Medio-Alto","0"
"116","1","Bajo","Corto","Bajo","0","Corto","0","0","Alto","Alto","Alto","0"
"117","1","Bajo","Corto","Bajo","0","Corto","0","0","Alto","Medio-Alto","Alto","0"
"118","1","Bajo","Corto","Bajo","0","Corto","0","1","Medio","Medio-Alto","Medio-Alto","0"
"119","1","Bajo","Corto","Bajo","0","Largo","1","0","Alto","Alto","Alto","0"
"120","1","Medio","Corto","Medio","0","Corto","0","0","Bajo","Medio-Alto","Medio-Alto","0"
"121","1","Medio","Medio","Bajo","0","Corto","0","1","Bajo","Medio-Bajo","Medio-Bajo","0"
"122","1","Bajo","Corto","Bajo","0","Corto","0","1","Medio","Medio-Alto","Medio-Alto","0"
"123","1","Bajo","Medio","Bajo","0","Corto","0","0","Medio","Medio-Alto","Alto","0"
"124","1","Medio","Medio","Bajo","0","Corto","0","0","Medio","Medio-Alto","Medio-Bajo","0"
"125","1","Bajo","Medio","Bajo","0","Corto","0","1","Medio","Medio-Bajo","Medio-Bajo","0"
"126","1","Bajo","Corto","Bajo","0","Corto","0","1","Alto","Alto","Alto","0"
"127","1","Bajo","Medio","Bajo","0","Corto","0","1","Medio","Medio-Alto","Medio-Bajo","0"
"128","1","Bajo","Corto","Bajo","0","Corto","0","1","Alto","Alto","Medio-Alto","0"
"129","1","Medio","Medio","Bajo","0","Corto","0","1","Medio","Medio-Bajo","Medio-Bajo","0"
"130","1","Bajo","Corto","Bajo","0","Corto","1","0","Alto","Medio-Alto","Alto","0"
"131","1","Bajo","Medio","Bajo","0","Largo","1","0","Alto","Alto","Alto","0"
"132","1","Bajo","Corto","Bajo","0","Corto","0","1","Alto","Medio-Alto","Alto","0"
"133","1","Bajo","Medio","Bajo","0","Largo","0","1","Alto","Medio-Alto","Alto","0"
"134","1","Bajo","Medio","Bajo","0","Largo","0","0","Medio","Medio-Alto","Medio-Alto","0"
"135","1","Bajo","Medio","Bajo","0","Corto","0","0","Bajo","Medio-Alto","Medio-Bajo","0"
"136","1","Bajo","Corto","Bajo","0","Corto","0","1","Medio","Medio-Alto","Alto","0"
"137","1","Bajo","Medio","Bajo","0","Medio","1","0","Alto","Alto","Alto","0"
"138","1","Bajo","Medio","Bajo","0","Corto","1","1","Alto","Medio-Alto","Alto","0"
"139","1","Bajo","Corto","Bajo","0","Medio","0","0","Alto","Alto","Medio-Alto","0"
"140","1","Bajo","Medio","Bajo","0","Largo","0","0","Bajo","Medio-Alto","Medio-Bajo","0"
"141","1","Bajo","Corto","Bajo","0","Corto","1","0","Alto","Medio-Alto","Alto","0"
"142","1","Medio","Corto","Bajo","0","Corto","0","0","Medio","Medio-Alto","Medio-Alto","0"
"143","1","Bajo","Largo","Bajo","0","Corto","0","1","Medio","Alto","Alto","0"
"144","1","Bajo","Medio","Bajo","0","Corto","0","1","Medio","Alto","Alto","0"
"145","1","Bajo","Corto","Bajo","0","Medio","0","0","Bajo","Medio-Bajo","Medio-Bajo","0"
"146","1","Bajo","Medio","Bajo","0","Medio","0","0","Alto","Medio-Alto","Medio-Alto","0"
"147","1","Bajo","Medio","Bajo","0","Corto","1","0","Alto","Alto","Alto","0"
"148","1","Medio","Largo","Bajo","0","Medio","0","0","Bajo","Medio-Alto","Medio-Alto","0"
"149","1","Medio","Medio","Bajo","0","Largo","0","0","Alto","Alto","Medio-Alto","0"
"150","1","Bajo","Medio","Bajo","0","Largo","1","0","Medio","Alto","Medio-Bajo","0"
"151","1","Bajo","Medio","Bajo","0","Corto","0","1","Bajo","Medio-Alto","Medio-Alto","0"
"152","1","Medio","Medio","Bajo","0","Corto","0","1","Bajo","Alto","Alto","0"
"153","1","Bajo","Corto","Bajo","0","Corto","0","1","Medio","Medio-Alto","Alto","0"
"154","1","Bajo","Medio","Bajo","0","Medio","0","0","Alto","Alto","Alto","0"
"155","1","Medio","Medio","Bajo","0","Medio","0","0","Bajo","Alto","Alto","0"
"156","1","Bajo","Medio","Bajo","0","Corto","0","0","Medio","Medio-Alto","Alto","0"
"157","1","Bajo","Medio","Bajo","0","Corto","0","0","Medio","Alto","Alto","0"
"158","1","Bajo","Medio","Bajo","0","Corto","0","1","Alto","Medio-Alto","Alto","0"
"159","1","Bajo","Medio","Bajo","0","Corto","0","1","Bajo","Medio-Alto","Medio-Alto","0"
"160","1","Bajo","Corto","Bajo","0","Corto","0","0","Medio","Medio-Bajo","Medio-Bajo","0"
"161","1","Bajo","Corto","Bajo","0","Corto","0","0","Alto","Medio-Alto","Medio-Alto","0"
"162","1","Medio","Medio","Bajo","0","Medio","1","1","Medio","Medio-Alto","Medio-Alto","0"
"163","1","Bajo","Corto","Bajo","0","Corto","0","0","Medio","Medio-Bajo","Medio-Bajo","0"
"164","1","Bajo","Medio","Bajo","0","Corto","0","1","Alto","Medio-Alto","Medio-Alto","0"
"165","1","Bajo","Medio","Bajo","0","Largo","0","1","Alto","Medio-Bajo","Medio-Alto","0"
"166","1","Bajo","Largo","Bajo","0","Largo","1","0","Alto","Alto","Bajo","0"
"167","1","Bajo","Corto","Bajo","0","Corto","0","1","Bajo","Medio-Bajo","Medio-Alto","0"
"168","1","Bajo","Corto","Bajo","0","Corto","0","1","Medio","Medio-Alto","Medio-Alto","0"
"169","1","Bajo","Medio","Bajo","0","Medio","0","1","Bajo","Alto","Alto","0"
"170","1","Bajo","Corto","Bajo","0","Corto","0","0","Medio","Medio-Alto","Alto","0"
"171","1","Bajo","Corto","Bajo","0","Corto","0","1","Medio","Medio-Bajo","Medio-Alto","0"
"172","1","Bajo","Medio","Bajo","0","Medio","1","0","Medio","Alto","Medio-Alto","0"
"173","1","Medio","Corto","Medio","0","Largo","1","0","Alto","Medio-Alto","Alto","0"
"174","1","Bajo","Medio","Bajo","0","Largo","1","0","Alto","Alto","Alto","0"
"175","0","Bajo","Corto","Bajo","0","Corto","0","1","Alto","Medio-Alto","Alto","0"
"176","1","Bajo","Medio","Bajo","0","Corto","0","1","Alto","Alto","Alto","0"
"177","1","Bajo","Largo","Bajo","0","Largo","1","0","Bajo","Alto","Medio-Alto","0"
"178","1","Bajo","Medio","Bajo","0","Corto","0","0","Alto","Alto","Medio-Alto","0"
"179","1","Bajo","Largo","Bajo","0","Corto","0","0","Alto","Alto","Medio-Alto","0"
"180","1","Bajo","Medio","Bajo","0","Corto","0","0","Medio","Alto","Medio-Alto","0"
"181","1","Bajo","Medio","Bajo","0","Corto","0","1","Medio","Alto","Medio-Alto","0"
"182","1","Bajo","Medio","Bajo","0","Corto","0","1","Medio","Alto","Medio-Bajo","0"
"183","1","Bajo","Medio","Bajo","0","Corto","1","0","Alto","Alto","Medio-Bajo","0"
"184","1","Medio","Medio","Bajo","0","Corto","1","0","Bajo","Alto","Medio-Alto","0"
"185","1","Bajo","Medio","Bajo","0","Medio","1","0","Alto","Alto","Medio-Alto","0"
"186","1","Bajo","Medio","Bajo","0","Corto","0","1","Medio","Medio-Alto","Medio-Alto","0"
"187","1","Bajo","Medio","Bajo","0","Medio","0","1","Bajo","Medio-Alto","Medio-Alto","0"
"188","1","Bajo","Corto","Bajo","0","Corto","0","1","Medio","Medio-Alto","Medio-Alto","0"
"189","1","Bajo","Medio","Bajo","0","Corto","0","0","Bajo","Medio-Bajo","Medio-Bajo","0"
"190","1","Bajo","Medio","Bajo","0","Medio","1","0","Medio","Medio-Alto","Medio-Bajo","0"
"191","1","Medio","Corto","Bajo","0","Medio","0","1","Alto","Medio-Bajo","Medio-Bajo","0"
"192","1","Bajo","Medio","Bajo","0","Corto","0","0","Alto","Alto","Medio-Bajo","0"
"193","1","Bajo","Medio","Bajo","0","Corto","0","1","Bajo","Alto","Alto","0"
"194","1","Bajo","Medio","Medio","0","Largo","0","1","Alto","Alto","Medio-Alto","0"
"195","1","Bajo","Corto","Medio","0","Medio","0","0","Alto","Alto","Alto","0"
"196","1","Medio","Medio","Bajo","0","Corto","0","1","Medio","Medio-Alto","Medio-Alto","0"
"197","1","Bajo","Medio","Bajo","0","Corto","0","0","Alto","Alto","Alto","0"
"198","1","Bajo","Medio","Bajo","0","Corto","0","0","Alto","Alto","Alto","0"
"199","1","Bajo","Medio","Bajo","0","Largo","1","1","Bajo","Medio-Alto","Medio-Alto","0"
"200","1","Bajo","Medio","Bajo","0","Corto","1","1","Alto","Medio-Alto","Medio-Alto","0"
"201","1","Bajo","Medio","Bajo","0","Medio","0","0","Alto","Alto","Alto","0"
"202","1","Bajo","Corto","Bajo","0","Corto","0","1","Medio","Medio-Alto","Medio-Alto","0"
"203","1","Bajo","Corto","Bajo","0","Medio","0","0","Alto","Alto","Medio-Alto","0"
"204","1","Bajo","Corto","Bajo","0","Corto","0","0","Medio","Medio-Bajo","Medio-Bajo","0"
"205","1","Bajo","Medio","Bajo","0","Corto","1","0","Alto","Medio-Alto","Bajo","0"
"206","1","Bajo","Corto","Bajo","0","Medio","0","1","Medio","Medio-Alto","Alto","0"
"207","1","Bajo","Corto","Bajo","0","Medio","0","1","Alto","Alto","Alto","0"
"208","1","Medio","Medio","Bajo","0","Corto","1","0","Medio","Alto","Medio-Alto","0"
"209","1","Bajo","Corto","Bajo","0","Corto","0","1","Alto","Alto","Medio-Alto","0"
"210","1","Bajo","Medio","Bajo","0","Medio","1","0","Alto","Alto","Medio-Alto","0"
"211","1","Bajo","Medio","Bajo","0","Corto","0","0","Medio","Medio-Alto","Medio-Alto","0"
"212","1","Bajo","Medio","Bajo","0","Corto","0","1","Medio","Medio-Alto","Medio-Alto","0"
"213","1","Bajo","Medio","Bajo","0","Medio","1","0","Alto","Alto","Medio-Alto","0"
"214","1","Bajo","Medio","Bajo","0","Medio","0","0","Medio","Medio-Alto","Medio-Alto","0"
"215","1","Bajo","Medio","Bajo","0","Largo","1","0","Alto","Alto","Alto","0"
"216","1","Bajo","Medio","Bajo","0","Corto","0","1","Medio","Medio-Bajo","Medio-Bajo","0"
"217","1","Medio","Medio","Bajo","0","Corto","0","0","Medio","Alto","Medio-Bajo","0"
"218","1","Medio","Medio","Bajo","0","Corto","0","0","Bajo","Alto","Alto","0"
"219","1","Bajo","Corto","Bajo","0","Largo","0","0","Medio","Medio-Alto","Medio-Alto","0"
"220","1","Bajo","Medio","Bajo","0","Corto","1","0","Alto","Alto","Medio-Alto","0"
"221","1","Bajo","Medio","Bajo","0","Medio","0","1","Alto","Alto","Medio-Alto","0"
"222","1","Medio","Corto","Bajo","0","Corto","0","0","Alto","Alto","Medio-Bajo","0"
"223","1","Bajo","Corto","Bajo","0","Corto","0","0","Alto","Alto","Alto","0"
"224","1","Bajo","Corto","Bajo","0","Corto","0","1","Bajo","Medio-Alto","Medio-Alto","0"
"225","1","Bajo","Corto","Bajo","0","Corto","0","1","Bajo","Medio-Alto","Medio-Bajo","0"
"226","1","Bajo","Corto","Bajo","0","Largo","0","1","Medio","Alto","Medio-Alto","0"
"227","1","Medio","Corto","Bajo","0","Largo","0","0","Medio","Alto","Medio-Bajo","0"
"228","1","Bajo","Medio","Bajo","0","Corto","0","1","Alto","Medio-Alto","Medio-Alto","0"
"229","1","Bajo","Medio","Bajo","0","Corto","0","0","Bajo","Medio-Bajo","Medio-Alto","0"
"230","1","Bajo","Corto","Bajo","0","Corto","0","0","Medio","Alto","Medio-Alto","0"
"231","1","Bajo","Medio","Bajo","0","Corto","0","0","Medio","Medio-Alto","Medio-Alto","0"
"232","1","Bajo","Medio","Bajo","0","Corto","0","0","Alto","Medio-Alto","Alto","0"
"233","1","Medio","Medio","Bajo","0","Corto","0","0","Bajo","Medio-Alto","Medio-Alto","0"
"234","1","Medio","Largo","Bajo","0","Medio","0","0","Bajo","Alto","Alto","0"
"235","1","Medio","Medio","Bajo","0","Largo","1","0","Medio","Medio-Alto","Medio-Alto","0"
"236","1","Bajo","Medio","Bajo","0","Largo","0","0","Alto","Medio-Alto","Alto","0"
"237","1","Bajo","Medio","Bajo","0","Corto","0","0","Alto","Medio-Alto","Alto","0"
"238","1","Bajo","Medio","Bajo","0","Corto","0","1","Medio","Medio-Bajo","Medio-Bajo","0"
"239","1","Bajo","Medio","Bajo","0","Corto","0","1","Medio","Medio-Alto","Alto","0"
"240","1","Bajo","Medio","Bajo","0","Corto","0","1","Bajo","Medio-Bajo","Medio-Bajo","0"
"241","1","Bajo","Medio","Bajo","0","Corto","0","1","Medio","Alto","Alto","0"
"242","1","Bajo","Medio","Bajo","0","Corto","0","0","Bajo","Medio-Bajo","Bajo","0"
"243","1","Bajo","Corto","Bajo","1","Medio","1","1","Medio","Medio-Bajo","Medio-Bajo","0"
"244","1","Bajo","Medio","Bajo","0","Corto","0","1","Medio","Medio-Alto","Medio-Alto","0"
"245","1","Bajo","Medio","Bajo","0","Corto","0","1","Bajo","Bajo","Bajo","0"
"246","1","Bajo","Corto","Bajo","0","Largo","1","0","Medio","Alto","Alto","0"
"247","1","Medio","Corto","Bajo","0","Corto","0","0","Bajo","Medio-Bajo","Bajo","0"
"248","1","Bajo","Corto","Bajo","0","Corto","1","1","Medio","Medio-Alto","Medio-Alto","0"
"249","1","Medio","Corto","Bajo","0","Corto","0","0","Alto","Medio-Alto","Medio-Bajo","0"
"250","1","Medio","Corto","Bajo","0","Corto","0","1","Bajo","Medio-Bajo","Medio-Alto","0"
"251","1","Bajo","Corto","Bajo","0","Corto","0","0","Medio","Medio-Alto","Medio-Alto","0"
"252","1","Medio","Corto","Bajo","0","Corto","0","0","Alto","Medio-Bajo","Medio-Bajo","0"
"253","1","Bajo","Medio","Bajo","0","Corto","0","1","Bajo","Bajo","Medio-Bajo","0"
"254","1","Medio","Corto","Medio","0","Corto","0","1","Medio","Medio-Alto","Medio-Alto","0"
"255","1","Bajo","Corto","Bajo","0","Medio","0","0","Medio","Medio-Alto","Medio-Alto","0"
"256","1","Bajo","Corto","Bajo","0","Corto","0","0","Alto","Medio-Alto","Medio-Alto","0"
"257","1","Medio","Corto","Bajo","0","Corto","0","1","Alto","Alto","Alto","0"
"258","1","Bajo","Corto","Bajo","0","Corto","0","1","Bajo","Medio-Bajo","Medio-Bajo","0"
"259","1","Bajo","Medio","Bajo","0","Corto","1","0","Alto","Alto","Bajo","0"
"260","1","Bajo","Medio","Bajo","0","Corto","0","0","Alto","Medio-Alto","Alto","0"
"261","1","Bajo","Medio","Bajo","0","Largo","1","0","Alto","Alto","Medio-Alto","0"
"262","1","Medio","Medio","Bajo","0","Corto","0","0","Medio","Medio-Alto","Medio-Alto","0"
"263","1","Bajo","Medio","Bajo","0","Corto","0","1","Medio","Medio-Alto","Medio-Alto","0"
"264","1","Bajo","Medio","Bajo","0","Corto","0","1","Bajo","Medio-Alto","Medio-Alto","0"
"265","1","Bajo","Medio","Bajo","0","Corto","0","0","Alto","Alto","Alto","0"
"266","1","Medio","Medio","Bajo","0","Corto","0","1","Alto","Alto","Alto","0"
"267","1","Bajo","Medio","Bajo","0","Corto","0","1","Medio","Medio-Alto","Medio-Alto","0"
"268","1","Bajo","Medio","Bajo","0","Corto","0","0","Alto","Medio-Alto","Medio-Alto","0"
"269","1","Bajo","Medio","Bajo","0","Corto","0","1","Medio","Alto","Alto","0"
"270","1","Bajo","Medio","Bajo","0","Corto","0","1","Alto","Medio-Alto","Medio-Alto","0"
"271","1","Bajo","Medio","Bajo","0","Corto","0","1","Alto","Medio-Alto","Alto","0"
"272","1","Bajo","Corto","Bajo","0","Corto","0","1","Medio","Alto","Medio-Alto","0"
"273","1","Bajo","Medio","Bajo","0","Largo","0","0","Medio","Alto","Bajo","0"
"274","1","Bajo","Medio","Bajo","0","Corto","0","1","Bajo","Medio-Bajo","Medio-Bajo","0"
"275","1","Bajo","Medio","Bajo","0","Corto","0","0","Medio","Medio-Alto","Medio-Alto","0"
"276","1","Bajo","Medio","Bajo","0","Corto","1","1","Bajo","Medio-Alto","Medio-Alto","0"
"277","1","Bajo","Corto","Bajo","0","Corto","0","1","Alto","Alto","Alto","0"
"278","1","Medio","Medio","Bajo","0","Corto","0","1","Alto","Alto","Alto","0"
"279","1","Bajo","Corto","Bajo","0","Corto","0","1","Alto","Medio-Alto","Medio-Alto","0"
"280","1","Bajo","Corto","Bajo","0","Corto","0","1","Alto","Alto","Alto","0"
"281","1","Medio","Corto","Bajo","0","Corto","0","0","Bajo","Medio-Bajo","Bajo","0"
"282","0","Bajo","Corto","Bajo","0","Corto","0","1","Medio","Medio-Alto","Medio-Alto","0"
"283","1","Bajo","Medio","Bajo","0","Corto","1","1","Medio","Medio-Alto","Medio-Bajo","0"
"284","1","Bajo","Corto","Bajo","0","Corto","0","1","Alto","Alto","Alto","0"
